"","Mean","SD","Time-series SE","2.5%","50%","97.5%","n_eff","R-hat"
"R[scl_Intc, Intc]",-0.203,0.182,0.046,-0.532,-0.201,0.143,29,1.222
"Intc",0.117,0.027,0.002,0.06,0.118,0.167,66,1.056
"sd_Intc",0.33,0.025,0.002,0.283,0.33,0.38,36,1.086
"sd_scl_Intc",0.085,0.017,0.001,0.053,0.083,0.123,236,1.004
"pip[2, 1]",0.484,0.5,0.006,0,0,1,8221,1
"pip[2, 2]",0.451,0.498,0.006,0,0,1,7434,1
"pip[2, 3]",0.433,0.496,0.007,0,0,1,4785,1.001
"pip[2, 4]",0.457,0.498,0.007,0,0,1,3411,1
"pip[2, 5]",0.522,0.5,0.009,0,1,1,2937,1.002
"pip[2, 6]",0.43,0.495,0.006,0,0,1,6353,1
"pip[2, 7]",0.477,0.499,0.009,0,0,1,2536,1.001
"pip[2, 8]",0.47,0.499,0.006,0,0,1,8085,1
"pip[2, 9]",0.923,0.267,0.008,0,1,1,736,1.004
"pip[2, 10]",0.417,0.493,0.006,0,0,1,6530,1
"pip[2, 11]",0.574,0.495,0.009,0,1,1,2049,1
"pip[2, 12]",0.414,0.493,0.007,0,0,1,5979,1
"pip[2, 13]",0.448,0.497,0.01,0,0,1,1997,1
"pip[2, 14]",0.575,0.494,0.009,0,1,1,2237,1
"pip[2, 15]",0.476,0.499,0.006,0,0,1,5988,1
"pip[2, 16]",0.461,0.498,0.006,0,0,1,6091,1
"pip[2, 17]",0.422,0.494,0.007,0,0,1,2925,1
"pip[2, 18]",0.513,0.5,0.006,0,1,1,6969,1
"pip[2, 19]",0.416,0.493,0.008,0,0,1,2905,1.002
"pip[2, 20]",0.519,0.5,0.007,0,1,1,5610,1
"pip[2, 21]",0.432,0.495,0.007,0,0,1,4443,1.001
"pip[2, 22]",0.583,0.493,0.009,0,1,1,1391,1.001
"pip[2, 23]",0.476,0.499,0.01,0,0,1,902,1.001
"pip[2, 24]",0.456,0.498,0.006,0,0,1,3952,1.001
"pip[2, 25]",0.445,0.497,0.006,0,0,1,6512,1
"pip[2, 26]",0.507,0.5,0.006,0,1,1,7070,1
"pip[2, 27]",0.426,0.494,0.006,0,0,1,6740,1
"pip[2, 28]",0.484,0.5,0.006,0,0,1,6454,1
"pip[2, 29]",0.476,0.499,0.008,0,0,1,2905,1.001
"pip[2, 30]",0.392,0.488,0.01,0,0,1,1921,1.001
"pip[2, 31]",0.482,0.5,0.006,0,0,1,5587,1.001
"pip[2, 32]",0.537,0.499,0.009,0,1,1,2146,1.001
"pip[2, 33]",0.435,0.496,0.007,0,0,1,3723,1
"pip[2, 34]",0.552,0.497,0.008,0,1,1,3362,1.001
"pip[2, 35]",0.743,0.437,0.013,0,1,1,565,1.005
"pip[2, 36]",0.519,0.5,0.008,0,1,1,3386,1
"pip[2, 37]",0.445,0.497,0.006,0,0,1,6364,1
"pip[2, 38]",0.452,0.498,0.006,0,0,1,4149,1
"pip[2, 39]",0.965,0.184,0.008,0,1,1,133,1.016
"pip[2, 40]",0.431,0.495,0.006,0,0,1,6396,1
"pip[2, 41]",0.852,0.355,0.016,0,1,1,257,1.013
"pip[2, 42]",0.414,0.493,0.008,0,0,1,3081,1.001
"pip[2, 43]",0.37,0.483,0.007,0,0,1,3811,1
"pip[2, 44]",0.429,0.495,0.007,0,0,1,5097,1.001
"pip[2, 45]",0.418,0.493,0.008,0,0,1,3374,1.002
"pip[2, 46]",0.96,0.196,0.008,0,1,1,168,1.01
"pip[2, 47]",0.458,0.498,0.006,0,0,1,6535,1
"pip[2, 48]",0.511,0.5,0.008,0,1,1,3797,1
"pip[2, 49]",0.405,0.491,0.009,0,0,1,2353,1.001
"pip[2, 50]",0.498,0.5,0.006,0,0,1,7305,1
"pip[2, 51]",0.465,0.499,0.007,0,0,1,5790,1
"pip[2, 52]",0.506,0.5,0.007,0,1,1,3343,1
"pip[2, 53]",0.763,0.426,0.012,0,1,1,749,1.004
"pip[2, 54]",0.54,0.498,0.012,0,1,1,1524,1.002
"pip[2, 55]",0.466,0.499,0.007,0,0,1,5717,1
"pip[2, 56]",0.442,0.497,0.007,0,0,1,5045,1
"pip[2, 57]",0.539,0.498,0.006,0,1,1,6495,1
"pip[2, 58]",0.494,0.5,0.007,0,0,1,4972,1
"pip[2, 59]",0.483,0.5,0.006,0,0,1,7678,1
"pip[2, 60]",0.508,0.5,0.007,0,1,1,4090,1.002
"pip[2, 61]",0.452,0.498,0.015,0,0,1,698,1.002
"pip[2, 62]",0.419,0.493,0.008,0,0,1,2954,1.001
"pip[2, 63]",0.478,0.5,0.006,0,0,1,5944,1
"pip[2, 64]",0.572,0.495,0.007,0,1,1,4190,1.001
"pip[2, 65]",0.47,0.499,0.006,0,0,1,8423,1
"pip[2, 66]",0.555,0.497,0.007,0,1,1,4456,1.002
"pip[2, 67]",0.417,0.493,0.006,0,0,1,6372,1.001
"pip[2, 68]",0.447,0.497,0.01,0,0,1,1891,1.001
"pip[2, 69]",0.461,0.499,0.006,0,0,1,6643,1.001
"pip[2, 70]",0.46,0.498,0.009,0,0,1,2710,1.001
"pip[2, 71]",0.483,0.5,0.007,0,0,1,4318,1.002
"pip[2, 72]",0.412,0.492,0.006,0,0,1,5270,1
"pip[2, 73]",0.557,0.497,0.013,0,1,1,540,1.004
"pip[2, 74]",0.464,0.499,0.008,0,0,1,3955,1.002
"pip[2, 75]",0.465,0.499,0.006,0,0,1,6317,1.001
"pip[2, 76]",0.438,0.496,0.006,0,0,1,6193,1
"pip[2, 77]",0.418,0.493,0.006,0,0,1,5521,1
"pip[2, 78]",0.436,0.496,0.006,0,0,1,6146,1
"pip[2, 79]",0.415,0.493,0.007,0,0,1,3823,1
"pip[2, 80]",0.504,0.5,0.006,0,1,1,8785,1
"pip[2, 81]",0.412,0.492,0.009,0,0,1,3174,1.001
"pip[2, 82]",0.52,0.5,0.007,0,1,1,4801,1.001
"pip[2, 83]",0.451,0.498,0.006,0,0,1,5483,1
"pip[2, 84]",0.491,0.5,0.006,0,0,1,8057,1
"pip[2, 85]",0.467,0.499,0.006,0,0,1,6986,1
"pip[2, 86]",0.378,0.485,0.007,0,0,1,990,1.002
"pip[2, 87]",0.772,0.42,0.011,0,1,1,954,1.003
"pip[2, 88]",0.532,0.499,0.007,0,1,1,3445,1.001
"pip[2, 89]",0.486,0.5,0.006,0,0,1,7216,1
"pip[2, 90]",0.482,0.5,0.006,0,0,1,7740,1
"pip[2, 91]",0.482,0.5,0.006,0,0,1,6529,1.001
"pip[2, 92]",0.744,0.437,0.015,0,1,1,542,1.006
"pip[2, 93]",0.491,0.5,0.006,0,0,1,5486,1
"pip[2, 94]",0.478,0.5,0.006,0,0,1,5707,1
"pip[2, 95]",0.786,0.41,0.014,0,1,1,589,1.006
"pip[2, 96]",0.44,0.496,0.008,0,0,1,3467,1
"pip[2, 97]",0.449,0.497,0.008,0,0,1,3531,1.001
"pip[2, 98]",0.476,0.499,0.008,0,0,1,3328,1
"pip[2, 99]",0.542,0.498,0.008,0,1,1,3714,1
"pip[2, 100]",0.446,0.497,0.006,0,0,1,4838,1
"pip[2, 101]",0.387,0.487,0.007,0,0,1,3026,1.001
"pip[2, 102]",0.587,0.492,0.016,0,1,1,177,1.005
"pip[2, 103]",0.408,0.491,0.012,0,0,1,808,1.002
"pip[2, 104]",0.42,0.494,0.007,0,0,1,3456,1.001
"pip[2, 105]",0.484,0.5,0.006,0,0,1,8117,1
"pip[2, 106]",0.392,0.488,0.009,0,0,1,1633,1.002
"pip[2, 107]",0.463,0.499,0.006,0,0,1,5341,1.001
"pip[2, 108]",0.758,0.428,0.021,0,1,1,169,1.029
"pip[2, 109]",0.498,0.5,0.006,0,0,1,6887,1
"pip[2, 110]",0.342,0.475,0.009,0,0,1,1288,1.002
"pip[2, 111]",0.488,0.5,0.012,0,0,1,416,1.004
"pip[2, 112]",0.462,0.499,0.006,0,0,1,5344,1.001
"pip[2, 113]",0.531,0.499,0.007,0,1,1,5853,1.001
"pip[2, 114]",0.926,0.261,0.01,0,1,1,190,1.003
"pip[2, 115]",0.736,0.441,0.014,0,1,1,948,1.004
"pip[2, 116]",0.368,0.482,0.01,0,0,1,1562,1
"pip[2, 117]",0.482,0.5,0.006,0,0,1,7864,1
"pip[2, 118]",0.437,0.496,0.009,0,0,1,2058,1.001
"pip[2, 119]",0.491,0.5,0.006,0,0,1,6316,1
"pip[2, 120]",0.518,0.5,0.007,0,1,1,4924,1.001
"pip[2, 121]",0.454,0.498,0.006,0,0,1,7218,1
"pip[2, 122]",0.624,0.484,0.012,0,1,1,1525,1.002
"pip[2, 123]",0.51,0.5,0.006,0,1,1,6628,1
"pip[2, 124]",0.682,0.466,0.009,0,1,1,1794,1.002
"pip[2, 125]",0.495,0.5,0.007,0,0,1,5645,1.001
"pip[2, 126]",0.501,0.5,0.006,0,1,1,5708,1
"pip[2, 127]",0.541,0.498,0.007,0,1,1,4235,1.001
"pip[2, 128]",0.485,0.5,0.007,0,0,1,5116,1
"pip[2, 129]",0.477,0.5,0.006,0,0,1,6485,1
"pip[2, 130]",0.451,0.498,0.006,0,0,1,5838,1
"pip[2, 131]",0.478,0.5,0.006,0,0,1,6739,1
"pip[2, 132]",0.437,0.496,0.006,0,0,1,5765,1.001
"pip[2, 133]",0.462,0.499,0.007,0,0,1,5478,1
"pip[2, 134]",0.525,0.499,0.006,0,1,1,3787,1
"pip[2, 135]",0.418,0.493,0.007,0,0,1,4656,1
"pip[2, 136]",0.463,0.499,0.006,0,0,1,6617,1
"pip[2, 137]",0.452,0.498,0.007,0,0,1,3665,1.002
"pip[2, 138]",0.471,0.499,0.006,0,0,1,6843,1
"pip[2, 139]",0.47,0.499,0.006,0,0,1,4717,1
"pip[2, 140]",0.528,0.499,0.006,0,1,1,5573,1.001
"pip[2, 141]",0.521,0.5,0.007,0,1,1,4990,1
"pip[2, 142]",0.488,0.5,0.006,0,0,1,7678,1
"pip[2, 143]",0.413,0.492,0.007,0,0,1,4222,1.001
"pip[2, 144]",0.483,0.5,0.006,0,0,1,7767,1
"pip[2, 145]",0.445,0.497,0.005,0,0,1,7174,1
"pip[2, 146]",0.448,0.497,0.006,0,0,1,4823,1
"pip[2, 147]",0.488,0.5,0.006,0,0,1,8181,1
"pip[2, 148]",0.564,0.496,0.007,0,1,1,4148,1
"pip[2, 149]",0.624,0.484,0.008,0,1,1,3158,1.001
"pip[2, 150]",0.479,0.5,0.01,0,0,1,910,1.001
"pip[2, 151]",0.477,0.5,0.006,0,0,1,7463,1
"pip[2, 152]",0.442,0.497,0.006,0,0,1,5299,1
"pip[2, 153]",0.661,0.473,0.009,0,1,1,1641,1.002
"pip[2, 154]",0.484,0.5,0.008,0,0,1,3077,1.003
"pip[2, 155]",0.512,0.5,0.006,0,1,1,5222,1.001
"pip[2, 156]",0.482,0.5,0.006,0,0,1,7795,1
"pip[2, 157]",0.507,0.5,0.006,0,1,1,5722,1
"pip[2, 158]",0.487,0.5,0.006,0,0,1,7644,1
"pip[2, 159]",0.423,0.494,0.006,0,0,1,6119,1
"pip[2, 160]",0.503,0.5,0.006,0,1,1,5912,1
"scl_Intc",-0.235,0.009,0,-0.253,-0.235,-0.217,544,1.017
